Index | Bit-true Hex Real | Bit-true Hex Imag | Int Real | Int Imag
---------------------------------------------------------------------------
   0  | FFDE             | FFE8             |    -34   |    -24
   1  | FFFB             | FFE0             |     -5   |    -32
   2  | 000E             | FFD9             |     14   |    -39
   3  | 004C             | FFAB             |     76   |    -85
   4  | 0056             | FEF6             |     86   |   -266
   5  | 00FC             | FFE3             |    252   |    -29
   6  | 0211             | 0006             |    529   |      6
   7  | 00A3             | 0027             |    163   |     39
   8  | 01CF             | 012A             |    463   |    298
   9  | 0023             | FFAA             |     35   |    -86
  10  | 03E7             | 0219             |    999   |    537
  11  | FD52             | 032B             |   -686   |    811
  12  | 00FB             | FEA1             |    251   |   -351
  13  | 0079             | 0141             |    121   |    321
  14  | 0126             | 018E             |    294   |    398
  15  | FEA3             | 009B             |   -349   |    155
  16  | 0245             | FFEE             |    581   |    -18
  17  | FF7D             | 0370             |   -131   |    880
  18  | 0129             | FDFE             |    297   |   -514
  19  | 0037             | 05F8             |     55   |   1528
  20  | FF04             | 0033             |   -252   |     51
  21  | FE46             | 0100             |   -442   |    256
  22  | FEB1             | 0453             |   -335   |   1107
  23  | FB78             | FDA0             |  -1160   |   -608
  24  | FE7B             | FCCF             |   -389   |   -817
  25  | 01F7             | FF5C             |    503   |   -164
  26  | 020F             | FF59             |    527   |   -167
  27  | FEAF             | 01DB             |   -337   |    475
  28  | FECA             | 000C             |   -310   |     12
  29  | 00DF             | FD7A             |    223   |   -646
  30  | FFFF             | 00CC             |     -1   |    204
  31  | FFB4             | FF57             |    -76   |   -169
  32  | 002F             | FB67             |     47   |  -1177
  33  | 08E0             | 01F5             |   2272   |    501
  34  | FC92             | 0437             |   -878   |   1079
  35  | 01C7             | 0058             |    455   |     88
  36  | FE7F             | 00F5             |   -385   |    245
  37  | 0149             | FF71             |    329   |   -143
  38  | FE4A             | 0150             |   -438   |    336
  39  | 032D             | FCC3             |    813   |   -829
  40  | 0278             | 01F7             |    632   |    503
  41  | 021A             | 029D             |    538   |    669
  42  | 0198             | 0262             |    408   |    610
  43  | FF0F             | 0205             |   -241   |    517
  44  | 043A             | 0462             |   1082   |   1122
  45  | FA49             | 04BB             |  -1463   |   1211
  46  | FED7             | 00B4             |   -297   |    180
  47  | FDF7             | 00B4             |   -521   |    180
  48  | FFD8             | 00D8             |    -40   |    216
  49  | FD1D             | 053A             |   -739   |   1338
  50  | FA2C             | FC8B             |  -1492   |   -885
  51  | 0037             | FE60             |     55   |   -416
  52  | FF7B             | FF09             |   -133   |   -247
  53  | 005F             | FFF4             |     95   |    -12
  54  | FF0D             | FFC9             |   -243   |    -55
  55  | FFA1             | FFCC             |    -95   |    -52
  56  | FFB6             | FFD0             |    -74   |    -48
  57  | FFC5             | FEC0             |    -59   |   -320
  58  | 0104             | 004A             |    260   |     74
  59  | 0011             | 00BA             |     17   |    186
  60  | FFF1             | 0057             |    -15   |     87
  61  | FF48             | 0042             |   -184   |     66
  62  | FFE9             | 008A             |    -23   |    138
  63  | FFE2             | FF47             |    -30   |   -185
  64  | FF38             | 00C7             |   -200   |    199
  65  | 0107             | FEC5             |    263   |   -315
  66  | 0076             | 0162             |    118   |    354
  67  | FFD1             | 00CB             |    -47   |    203
  68  | FF54             | 008A             |   -172   |    138
  69  | 002D             | 0050             |     45   |     80
  70  | FF1F             | 0070             |   -225   |    112
  71  | 0099             | 00DC             |    153   |    220
  72  | FE75             | 00ED             |   -395   |    237
  73  | FECC             | FFD3             |   -308   |    -45
  74  | FF73             | 001E             |   -141   |     30
  75  | FEF7             | FEE4             |   -265   |   -284
  76  | FFED             | FFED             |    -19   |    -19
  77  | FFFD             | FEE6             |     -3   |   -282
  78  | 0060             | 0007             |     96   |      7
  79  | 007C             | FF97             |    124   |   -105
  80  | 004F             | 0094             |     79   |    148
  81  | 003A             | FFBB             |     58   |    -69
  82  | 00F7             | 00E5             |    247   |    229
  83  | FF65             | 0109             |   -155   |    265
  84  | FF79             | 0072             |   -135   |    114
  85  | FF9D             | FFAE             |    -99   |    -82
